h, min, s, pm_25, pm_10
15, 51, 22, 8.4, 12.9
15, 51, 23, 8.4, 13.0
15, 51, 24, 8.5, 13.2
15, 51, 25, 8.5, 13.2
15, 51, 26, 8.4, 13.3
15, 51, 27, 8.5, 13.4
15, 51, 28, 8.4, 13.3
15, 51, 29, 8.4, 13.3
15, 51, 30, 8.3, 13.1
15, 51, 31, 8.2, 12.9
15, 51, 32, 8.6, 14.9
15, 51, 33, 8.5, 14.7
15, 51, 34, 8.5, 14.6
15, 51, 35, 8.5, 14.7
15, 51, 36, 8.5, 14.8
15, 51, 37, 8.6, 14.9
15, 51, 38, 8.5, 14.3
15, 51, 39, 8.6, 14.4
15, 51, 40, 8.6, 14.3
15, 51, 41, 8.7, 14.1
15, 51, 42, 8.7, 14.1
15, 51, 43, 8.7, 14.4
15, 51, 44, 8.6, 14.1
15, 51, 45, 8.6, 13.6
15, 51, 46, 8.6, 13.6
15, 51, 47, 8.6, 13.6
15, 51, 48, 8.6, 13.4
15, 51, 49, 8.5, 12.8
15, 51, 50, 8.6, 12.8
